3:Start of One Benchmark
58:Start of One Benchmark
371:Start of One Benchmark
390:Start of One Benchmark
1504:Memsweep time in seconds: 5.240
1506:Memsweep time in seconds: 5.270
1508:Memsweep time in seconds: 5.290
1510:Memsweep time in seconds: 5.250
1512:Memsweep time in seconds: 5.190
1514:Memsweep time in seconds: 5.210
1516:Memsweep time in seconds: 5.210
1519:Start of One Benchmark
1574:Start of One Benchmark
1887:Start of One Benchmark
1904:Start of One Benchmark
1906:Memsweep time in seconds: 5.180
1908:Memsweep time in seconds: 5.180
1910:Memsweep time in seconds: 5.180
1912:Memsweep time in seconds: 5.200
1914:Memsweep time in seconds: 5.180
1916:Memsweep time in seconds: 5.150
1918:Memsweep time in seconds: 5.160
1920:Memsweep time in seconds: 5.180
1922:Memsweep time in seconds: 5.220
1924:Memsweep time in seconds: 5.170
1926:Memsweep time in seconds: 5.170
1928:Memsweep time in seconds: 5.170
1930:Memsweep time in seconds: 5.160
1932:Memsweep time in seconds: 5.130
1934:Memsweep time in seconds: 5.130
1936:Memsweep time in seconds: 5.160
1938:Memsweep time in seconds: 5.150
1940:Memsweep time in seconds: 5.140
1942:Memsweep time in seconds: 5.140
1944:Memsweep time in seconds: 5.130
1946:Memsweep time in seconds: 5.120
1948:Memsweep time in seconds: 5.140
1950:Memsweep time in seconds: 5.160
1952:Memsweep time in seconds: 5.180
1954:Memsweep time in seconds: 5.160
1956:Memsweep time in seconds: 5.170
1958:Memsweep time in seconds: 5.120
1960:Memsweep time in seconds: 5.130
1962:Memsweep time in seconds: 5.120
1964:Memsweep time in seconds: 5.120
1966:Memsweep time in seconds: 5.130
1968:Memsweep time in seconds: 5.120
1970:Memsweep time in seconds: 5.160
1972:Memsweep time in seconds: 5.210
1974:Memsweep time in seconds: 5.170
1976:Memsweep time in seconds: 5.130
1978:Memsweep time in seconds: 5.150
1980:Memsweep time in seconds: 5.120
1982:Memsweep time in seconds: 5.120
1984:Memsweep time in seconds: 5.120
1986:Memsweep time in seconds: 5.170
1988:Memsweep time in seconds: 5.150
1990:Memsweep time in seconds: 5.170
1992:Memsweep time in seconds: 5.160
1994:Memsweep time in seconds: 5.160
1996:Memsweep time in seconds: 5.170
1998:Memsweep time in seconds: 5.160
2000:Memsweep time in seconds: 5.150
2002:Memsweep time in seconds: 5.170
2004:Memsweep time in seconds: 5.110
2006:Memsweep time in seconds: 5.120
